code,prefecture_code,name,name_kana,name_romaji
47201,47,那覇市,ナハシ,NAHA SHI
47205,47,宜野湾市,ギノワンシ,GINOWAN SHI
47207,47,石垣市,イシガキシ,ISHIGAKI SHI
47208,47,浦添市,ウラソエシ,URASOE SHI
47209,47,名護市,ナゴシ,NAGO SHI
47210,47,糸満市,イトマンシ,ITOMAN SHI
47211,47,沖縄市,オキナワシ,OKINAWA SHI
47212,47,豊見城市,トミグスクシ,TOMIGUSUKU SHI
47213,47,うるま市,ウルマシ,URUMA SHI
47214,47,宮古島市,ミヤコジマシ,MIYAKOJIMA SHI
47215,47,南城市,ナンジョウシ,NANJO SHI
47301,47,国頭郡国頭村,クニガミグンクニガミソン,KUNIGAMI GUN KUNIGAMI SON
47302,47,国頭郡大宜味村,クニガミグンオオギミソン,KUNIGAMI GUN OGIMI SON
47303,47,国頭郡東村,クニガミグンヒガシソン,KUNIGAMI GUN HIGASHI SON
47306,47,国頭郡今帰仁村,クニガミグンナキジンソン,KUNIGAMI GUN NAKIJIN SON
47308,47,国頭郡本部町,クニガミグンモトブチョウ,KUNIGAMI GUN MOTOBU CHO
47311,47,国頭郡恩納村,クニガミグンオンナソン,KUNIGAMI GUN ONNA SON
47313,47,国頭郡宜野座村,クニガミグンギノザソン,KUNIGAMI GUN GINOZA SON
47314,47,国頭郡金武町,クニガミグンキンチョウ,KUNIGAMI GUN KIN CHO
47315,47,国頭郡伊江村,クニガミグンイエソン,KUNIGAMI GUN IE SON
47324,47,中頭郡読谷村,ナカガミグンヨミタンソン,NAKAGAMI GUN YOMITAN SON
47325,47,中頭郡嘉手納町,ナカガミグンカデナチョウ,NAKAGAMI GUN KADENA CHO
47326,47,中頭郡北谷町,ナカガミグンチャタンチョウ,NAKAGAMI GUN CHATAN CHO
47327,47,中頭郡北中城村,ナカガミグンキタナカグスクソン,NAKAGAMI GUN KITANAKAGUSUKU SON
47328,47,中頭郡中城村,ナカガミグンナカグスクソン,NAKAGAMI GUN NAKAGUSUKU SON
47329,47,中頭郡西原町,ナカガミグンニシハラチョウ,NAKAGAMI GUN NISHIHARA CHO
47348,47,島尻郡与那原町,シマジリグンヨナバルチョウ,SHIMAJIRI GUN YONABARU CHO
47350,47,島尻郡南風原町,シマジリグンハエバルチョウ,SHIMAJIRI GUN HAEBARU CHO
47353,47,島尻郡渡嘉敷村,シマジリグントカシキソン,SHIMAJIRI GUN TOKASHIKI SON
47354,47,島尻郡座間味村,シマジリグンザマミソン,SHIMAJIRI GUN ZAMAMI SON
47355,47,島尻郡粟国村,シマジリグンアグニソン,SHIMAJIRI GUN AGUNI SON
47356,47,島尻郡渡名喜村,シマジリグントナキソン,SHIMAJIRI GUN TONAKI SON
47357,47,島尻郡南大東村,シマジリグンミナミダイトウソン,SHIMAJIRI GUN MINAMIDAITO SON
47358,47,島尻郡北大東村,シマジリグンキタダイトウソン,SHIMAJIRI GUN KITADAITO SON
47359,47,島尻郡伊平屋村,シマジリグンイヘヤソン,SHIMAJIRI GUN IHEYA SON
47360,47,島尻郡伊是名村,シマジリグンイゼナソン,SHIMAJIRI GUN IZENA SON
47361,47,島尻郡久米島町,シマジリグンクメジマチョウ,SHIMAJIRI GUN KUMEJIMA CHO
47362,47,島尻郡八重瀬町,シマジリグンヤエセチョウ,SHIMAJIRI GUN YAESE CHO
47375,47,宮古郡多良間村,ミヤコグンタラマソン,MIYAKO GUN TARAMA SON
47381,47,八重山郡竹富町,ヤエヤマグンタケトミチョウ,YAEYAMA GUN TAKETOMI CHO
47382,47,八重山郡与那国町,ヤエヤマグンヨナグニチョウ,YAEYAMA GUN YONAGUNI CHO
