code,prefecture_code,name,name_kana,name_romaji
19201,19,甲府市,コウフシ,KOFU SHI
19202,19,富士吉田市,フジヨシダシ,FUJIYOSHIDA SHI
19204,19,都留市,ツルシ,TSURU SHI
19205,19,山梨市,ヤマナシシ,YAMANASHI SHI
19206,19,大月市,オオツキシ,OTSUKI SHI
19207,19,韮崎市,ニラサキシ,NIRASAKI SHI
19208,19,南アルプス市,ミナミアルプスシ,MINAMIARUPUSU SHI
19209,19,北杜市,ホクトシ,HOKUTO SHI
19210,19,甲斐市,カイシ,KAI SHI
19211,19,笛吹市,フエフキシ,FUEFUKI SHI
19212,19,上野原市,ウエノハラシ,UENOHARA SHI
19213,19,甲州市,コウシュウシ,KOSHU SHI
19214,19,中央市,チュウオウシ,CHUO SHI
19346,19,西八代郡市川三郷町,ニシヤツシログンイチカワミサトチョウ,NISHIYATSUSHIRO GUN ICHIKAWAMISATO CHO
19364,19,南巨摩郡早川町,ミナミコマグンハヤカワチョウ,MINAMIKOMA GUN HAYAKAWA CHO
19365,19,南巨摩郡身延町,ミナミコマグンミノブチョウ,MINAMIKOMA GUN MINOBU CHO
19366,19,南巨摩郡南部町,ミナミコマグンナンブチョウ,MINAMIKOMA GUN NAMBU CHO
19368,19,南巨摩郡富士川町,ミナミコマグンフジカワチョウ,MINAMIKOMA GUN FUJIKAWA CHO
19384,19,中巨摩郡昭和町,ナカコマグンショウワチョウ,NAKAKOMA GUN SHOWA CHO
19422,19,南都留郡道志村,ミナミツルグンドウシムラ,MINAMITSURU GUN DOSHI MURA
19423,19,南都留郡西桂町,ミナミツルグンニシカツラチョウ,MINAMITSURU GUN NISHIKATSURA CHO
19424,19,南都留郡忍野村,ミナミツルグンオシノムラ,MINAMITSURU GUN OSHINO MURA
19425,19,南都留郡山中湖村,ミナミツルグンヤマナカコムラ,MINAMITSURU GUN YAMANAKAKO MURA
19429,19,南都留郡鳴沢村,ミナミツルグンナルサワムラ,MINAMITSURU GUN NARUSAWA MURA
19430,19,南都留郡富士河口湖町,ミナミツルグンフジカワグチコマチ,MINAMITSURU GUN FUJIKAWAGUCHIKO MACHI
19442,19,北都留郡小菅村,キタツルグンコスゲムラ,KITATSURU GUN KOSUGE MURA
19443,19,北都留郡丹波山村,キタツルグンタバヤマムラ,KITATSURU GUN TABAYAMA MURA
