code,prefecture_code,name,name_kana,name_romaji
25201,25,大津市,オオツシ,OTSU SHI
25202,25,彦根市,ヒコネシ,HIKONE SHI
25203,25,長浜市,ナガハマシ,NAGAHAMA SHI
25204,25,近江八幡市,オウミハチマンシ,OMIHACHIMAN SHI
25206,25,草津市,クサツシ,KUSATSU SHI
25207,25,守山市,モリヤマシ,MORIYAMA SHI
25208,25,栗東市,リットウシ,RITTO SHI
25209,25,甲賀市,コウカシ,KOKA SHI
25210,25,野洲市,ヤスシ,YASU SHI
25211,25,湖南市,コナンシ,KONAN SHI
25212,25,高島市,タカシマシ,TAKASHIMA SHI
25213,25,東近江市,ヒガシオウミシ,HIGASHIOMI SHI
25214,25,米原市,マイバラシ,MAIBARA SHI
25383,25,蒲生郡日野町,ガモウグンヒノチョウ,GAMO GUN HINO CHO
25384,25,蒲生郡竜王町,ガモウグンリュウオウチョウ,GAMO GUN RYUO CHO
25425,25,愛知郡愛荘町,エチグンアイショウチョウ,ECHI GUN AISHO CHO
25441,25,犬上郡豊郷町,イヌカミグントヨサトチョウ,INUKAMI GUN TOYOSATO CHO
25442,25,犬上郡甲良町,イヌカミグンコウラチョウ,INUKAMI GUN KORA CHO
25443,25,犬上郡多賀町,イヌカミグンタガチョウ,INUKAMI GUN TAGA CHO
