name,name_kana,name_romaji,nickname,latitude,longitude
字中ノ沢,,,,42.47777,140.34537
字共立,,,,42.560538,140.403968
字双葉,,,,42.574431,140.316966
字国縫,,,,42.438987,140.319604
字大峯,,,,42.586101,140.235658
字大浜,,,,42.494068,140.36307
字富野,,,,42.510645,140.357147
字平里,,,,42.495049,140.349885
字旭浜,,,,42.522145,140.386922
字栄原,,,,42.54874,140.36664
字栗岡,,,,42.538894,140.351421
字知来,,,,42.595647,140.303684
字美畑,,,,42.562858,140.344313
字花岡,,,,42.462934,140.327271
字茶屋川,,,,42.46043,140.274775
字蕨岱,,,,42.609414,140.327434
字豊津,,,,42.391627,140.292472
字豊野,,,,42.421267,140.304283
字長万部,,,,42.514221,140.375489
字静狩,,,,42.584537,140.460553
