code,prefecture_code,name,name_kana,name_romaji
12101,12,千葉市中央区,チバシチュウオウク,CHIBA SHI CHUO KU
12102,12,千葉市花見川区,チバシハナミガワク,CHIBA SHI HANAMIGAWA KU
12103,12,千葉市稲毛区,チバシイナゲク,CHIBA SHI INAGE KU
12104,12,千葉市若葉区,チバシワカバク,CHIBA SHI WAKABA KU
12105,12,千葉市緑区,チバシミドリク,CHIBA SHI MIDORI KU
12106,12,千葉市美浜区,チバシミハマク,CHIBA SHI MIHAMA KU
12202,12,銚子市,チョウシシ,CHOSHI SHI
12203,12,市川市,イチカワシ,ICHIKAWA SHI
12204,12,船橋市,フナバシシ,FUNABASHI SHI
12205,12,館山市,タテヤマシ,TATEYAMA SHI
12206,12,木更津市,キサラヅシ,KISARAZU SHI
12207,12,松戸市,マツドシ,MATSUDO SHI
12208,12,野田市,ノダシ,NODA SHI
12210,12,茂原市,モバラシ,MOBARA SHI
12211,12,成田市,ナリタシ,NARITA SHI
12212,12,佐倉市,サクラシ,SAKURA SHI
12213,12,東金市,トウガネシ,TOGANE SHI
12215,12,旭市,アサヒシ,ASAHI SHI
12216,12,習志野市,ナラシノシ,NARASHINO SHI
12217,12,柏市,カシワシ,KASHIWA SHI
12218,12,勝浦市,カツウラシ,KATSURA SHI
12219,12,市原市,イチハラシ,ICHIHARA SHI
12220,12,流山市,ナガレヤマシ,NAGAREYAMA SHI
12221,12,八千代市,ヤチヨシ,YACHIYO SHI
12222,12,我孫子市,アビコシ,ABIKO SHI
12223,12,鴨川市,カモガワシ,KAMOGAWA SHI
12224,12,鎌ヶ谷市,カマガヤシ,KAMAGAYA SHI
12225,12,君津市,キミツシ,KIMITSU SHI
12226,12,富津市,フッツシ,FUTTSU SHI
12227,12,浦安市,ウラヤスシ,URAYASU SHI
12228,12,四街道市,ヨツカイドウシ,YOTSUKAIDO SHI
12229,12,袖ヶ浦市,ソデガウラシ,SODEGAURA SHI
12230,12,八街市,ヤチマタシ,YACHIMATA SHI
12231,12,印西市,インザイシ,INZAI SHI
12232,12,白井市,シロイシ,SHIROI SHI
12233,12,富里市,トミサトシ,TOMISATO SHI
12234,12,南房総市,ミナミボウソウシ,MINAMIBOSO SHI
12235,12,匝瑳市,ソウサシ,SOSA SHI
12236,12,香取市,カトリシ,KATORI SHI
12237,12,山武市,サンムシ,SAMMU SHI
12238,12,いすみ市,イスミシ,ISUMI SHI
12239,12,大網白里市,オオアミシラサトシ,OAMISHIRASATO SHI
12322,12,印旛郡酒々井町,インバグンシスイマチ,IMBA GUN SHISUI MACHI
12329,12,印旛郡栄町,インバグンサカエマチ,IMBA GUN SAKAE MACHI
12342,12,香取郡神崎町,カトリグンコウザキマチ,KATORI GUN KOZAKI MACHI
12347,12,香取郡多古町,カトリグンタコマチ,KATORI GUN TAKO MACHI
12349,12,香取郡東庄町,カトリグントウノショウマチ,KATORI GUN TONOSHO MACHI
12403,12,山武郡九十九里町,サンブグンクジュウクリマチ,SAMBU GUN KUJUKURI MACHI
12409,12,山武郡芝山町,サンブグンシバヤママチ,SAMBU GUN SHIBAYAMA MACHI
12410,12,山武郡横芝光町,サンブグンヨコシバヒカリマチ,SAMBU GUN YOKOSHIBAHIKARI MACHI
12421,12,長生郡一宮町,チョウセイグンイチノミヤマチ,CHOSEI GUN ICHINOMIYA MACHI
12422,12,長生郡睦沢町,チョウセイグンムツザワマチ,CHOSEI GUN MUTSUZAWA MACHI
12423,12,長生郡長生村,チョウセイグンチョウセイムラ,CHOSEI GUN CHOSEI MURA
12424,12,長生郡白子町,チョウセイグンシラコマチ,CHOSEI GUN SHIRAKO MACHI
12426,12,長生郡長柄町,チョウセイグンナガラマチ,CHOSEI GUN NAGARA MACHI
12427,12,長生郡長南町,チョウセイグンチョウナンマチ,CHOSEI GUN CHONAN MACHI
12441,12,夷隅郡大多喜町,イスミグンオオタキマチ,ISUMI GUN OTAKI MACHI
12443,12,夷隅郡御宿町,イスミグンオンジュクマチ,ISUMI GUN ONJUKU MACHI
12463,12,安房郡鋸南町,アワグンキョナンマチ,AWA GUN KYONAN MACHI
